,account,year,month,day,hour,minute,second,collection_period,prediction
0,05d79071-a3ad-45ab-8037-bf678673d08d,2020,11,15,04,50,02,2020111504,neutral
1,0f9761d8-b8c4-428e-b4d7-decbf6c54453,2020,11,15,04,50,04,2020111504,neutral
2,cd2ac7c3-546f-4edc-a0cf-9cfdd4e9a3b2,2020,11,15,04,50,05,2020111504,neutral
3,b0b255f5-b3de-49cc-ae01-a2c7cc2ffc55,2020,11,15,04,50,06,2020111504,neutral
4,8863f079-6290-415e-ad37-470ed6516d3c,2020,11,15,04,50,07,2020111504,positive
5,9f527357-54f4-42f6-8cb6-fc8bd1bdc120,2020,11,15,04,50,07,2020111504,neutral
6,10acef1c-94e8-4614-a497-c8561ed06af5,2020,11,15,04,50,09,2020111504,neutral
7,ea582fe2-4c4d-415b-8036-20a7bd69c68d,2020,11,15,04,50,09,2020111504,neutral
8,ce891fbc-031c-49c2-8f0c-351d129f76ce,2020,11,15,04,50,14,2020111504,neutral
9,c35792e3-ceb8-4e0b-a968-13164106e024,2020,11,15,04,50,21,2020111504,neutral
10,85123c0a-bba6-49b7-b348-c19cc3f3cfd2,2020,11,15,04,50,22,2020111504,neutral
11,2ba10dcb-8719-4d18-a0b6-fcba2492b916,2020,11,15,04,50,23,2020111504,neutral
12,ef5877d1-5851-4d0a-ae09-0492fa847bfe,2020,11,15,04,50,23,2020111504,neutral
13,c6da8e22-8661-41c3-b596-a95df300c181,2020,11,15,04,50,24,2020111504,negative
14,12f49fe2-e73e-4b8d-9ea9-cf8442614a88,2020,11,15,04,50,29,2020111504,neutral
15,1b2758f2-1e3e-4d9f-9436-df6e7e460ea2,2020,11,15,04,50,29,2020111504,neutral
16,42cc3ef2-2c4e-48f2-8e86-6c4b106258b2,2020,11,15,04,50,29,2020111504,neutral
17,6a47d3ca-0309-4e5d-8357-2459880fd410,2020,11,15,04,50,29,2020111504,neutral
18,6ca36c47-bddc-4696-abaf-23d12f6f738c,2020,11,15,04,50,29,2020111504,neutral
19,7ade8729-ab3a-4419-982d-93441ce41035,2020,11,15,04,50,29,2020111504,neutral
20,576468b2-0b18-40a1-b320-24ca3d869bf2,2020,11,15,04,50,30,2020111504,negative
21,358819c8-6e94-4255-9ee2-2219aad00d56,2020,11,15,04,50,31,2020111504,positive
22,8a35d3a7-e5f3-44e2-aab0-abbe6d646dc1,2020,11,15,04,50,31,2020111504,neutral
23,dca8c2cf-e56c-453a-a9f7-97b9b5833a45,2020,11,15,04,50,31,2020111504,neutral
24,f5a10559-d602-4c21-9d45-f6de1563b940,2020,11,15,04,50,31,2020111504,negative
25,2edcc1e0-1c61-49db-9648-2f90dbaa8faa,2020,11,15,04,50,32,2020111504,positive
26,47084038-6112-4640-8252-503b409da98e,2020,11,15,04,50,32,2020111504,neutral
27,512d1412-6d7e-4333-b2da-fcd98333e0f6,2020,11,15,04,50,32,2020111504,positive
28,7e69cc0f-0f46-4ba4-8635-07a974a270a0,2020,11,15,04,50,32,2020111504,neutral
29,8a4d039c-7859-4d08-a450-2320072841d2,2020,11,15,04,50,32,2020111504,positive
30,1b6fb868-68b1-4586-ad74-53f7098f3113,2020,11,15,04,50,33,2020111504,neutral
31,46ddbabd-368d-4015-9e9d-10fa8a4092ab,2020,11,15,04,50,33,2020111504,neutral
32,7c96aa9a-af56-48bf-9c47-39a0f4821c40,2020,11,15,04,50,33,2020111504,neutral
